,Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Number
264,2016,8,Nou Barris,46,el Turó de la Peira,Female,381
265,2016,8,Nou Barris,47,Can Peguera,Female,37
266,2016,8,Nou Barris,48,la Guineueta,Female,260
267,2016,8,Nou Barris,49,Canyelles,Female,65
268,2016,8,Nou Barris,50,les Roquetes,Female,469
269,2016,8,Nou Barris,51,Verdun,Female,303
270,2016,8,Nou Barris,52,la Prosperitat,Female,624
271,2016,8,Nou Barris,53,la Trinitat Nova,Female,174
272,2016,8,Nou Barris,54,Torre Baró,Female,70
273,2016,8,Nou Barris,55,Ciutat Meridiana,Female,310
274,2016,8,Nou Barris,56,Vallbona,Female,28
275,2016,9,Sant Andreu,57,la Trinitat Vella,Female,245
276,2016,9,Sant Andreu,58,Baró de Viver,Female,44
277,2016,9,Sant Andreu,59,el Bon Pastor,Female,233
278,2016,9,Sant Andreu,60,Sant Andreu,Female,896
279,2016,9,Sant Andreu,61,la Sagrera,Female,646
280,2016,9,Sant Andreu,62,el Congrés i els Indians,Female,299
281,2016,9,Sant Andreu,63,Navas,Female,470
282,2016,10,Sant Marti,64,el Camp de l'Arpa del Clot,Female,974
283,2016,10,Sant Marti,65,el Clot,Female,589
284,2016,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Female,406
285,2016,10,Sant Marti,67,la Vila Olímpica del Poblenou,Female,195
286,2016,10,Sant Marti,68,el Poblenou,Female,813
287,2016,10,Sant Marti,69,Diagonal Mar i el Front Marítim del Poblenou,Female,332
288,2016,10,Sant Marti,70,el Besòs i el Maresme,Female,704
289,2016,10,Sant Marti,71,Provençals del Poblenou,Female,407
290,2016,10,Sant Marti,72,Sant Marti de Provençals,Female,535
291,2016,10,Sant Marti,73,la Verneda i la Pau,Female,501
292,2015,1,Ciutat Vella,1,el Raval,Male,3219
293,2015,1,Ciutat Vella,2,el Barri Gòtic,Male,1164
294,2015,1,Ciutat Vella,3,la Barceloneta,Male,808
295,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,1302
296,2015,2,Eixample,5,el Fort Pienc,Male,999
297,2015,2,Eixample,6,la Sagrada Família,Male,1544
298,2015,2,Eixample,7,la Dreta de l'Eixample,Male,1376
299,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,1443
300,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,1699
301,2015,2,Eixample,10,Sant Antoni,Male,1188
302,2015,3,Sants-Montjuic,11,el Poble Sec,Male,1573
303,2015,3,Sants-Montjuic,12,la Marina del Prat Vermell,Male,33
304,2015,3,Sants-Montjuic,13,la Marina de Port,Male,691
305,2015,3,Sants-Montjuic,14,la Font de la Guatlla,Male,372
306,2015,3,Sants-Montjuic,15,Hostafrancs,Male,605
307,2015,3,Sants-Montjuic,16,la Bordeta,Male,488
308,2015,3,Sants-Montjuic,17,Sants - Badal,Male,708
309,2015,3,Sants-Montjuic,18,Sants,Male,1224
310,2015,4,Les Corts,19,les Corts,Male,1022
311,2015,4,Les Corts,20,la Maternitat i Sant Ramon,Male,626
312,2015,4,Les Corts,21,Pedralbes,Male,392
313,2015,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,110
314,2015,5,Sarria-Sant Gervasi,23,Sarrià,Male,579
315,2015,5,Sarria-Sant Gervasi,24,les Tres Torres,Male,313
316,2015,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,575
317,2015,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Male,1032
318,2015,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Male,679
319,2015,6,Gracia,28,Vallcarca i els Penitents,Male,312
320,2015,6,Gracia,29,el Coll,Male,177
321,2015,6,Gracia,30,la Salut,Male,268
322,2015,6,Gracia,31,la Vila de Gracia,Male,1607
323,2015,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Male,780
324,2015,7,Horta-Guinardo,33,el Baix Guinardó,Male,587
325,2015,7,Horta-Guinardo,34,Can Baró,Male,205
326,2015,7,Horta-Guinardo,35,el Guinardó,Male,805
327,2015,7,Horta-Guinardo,36,la Font d'en Fargues,Male,125
328,2015,7,Horta-Guinardo,37,el Carmel,Male,564
329,2015,7,Horta-Guinardo,38,la Teixonera,Male,205
330,2015,7,Horta-Guinardo,39,Sant Genís dels Agudells,Male,135
331,2015,7,Horta-Guinardo,40,Montbau,Male,112
332,2015,7,Horta-Guinardo,41,la Vall d'Hebron,Male,99
333,2015,7,Horta-Guinardo,42,la Clota,Male,20
334,2015,7,Horta-Guinardo,43,Horta,Male,481
335,2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,498
336,2015,8,Nou Barris,45,Porta,Male,510
337,2015,8,Nou Barris,46,el Turó de la Peira,Male,382
338,2015,8,Nou Barris,47,Can Peguera,Male,17
339,2015,8,Nou Barris,48,la Guineueta,Male,203
340,2015,8,Nou Barris,49,Canyelles,Male,77
341,2015,8,Nou Barris,50,les Roquetes,Male,409
342,2015,8,Nou Barris,51,Verdun,Male,278
343,2015,8,Nou Barris,52,la Prosperitat,Male,497
344,2015,8,Nou Barris,53,la Trinitat Nova,Male,189
345,2015,8,Nou Barris,54,Torre Baró,Male,70
346,2015,8,Nou Barris,55,Ciutat Meridiana,Male,303
347,2015,8,Nou Barris,56,Vallbona,Male,37
348,2015,9,Sant Andreu,57,la Trinitat Vella,Male,407
349,2015,9,Sant Andreu,58,Baró de Viver,Male,61
350,2015,9,Sant Andreu,59,el Bon Pastor,Male,310
351,2015,9,Sant Andreu,60,Sant Andreu,Male,898
352,2015,9,Sant Andreu,61,la Sagrera,Male,548
353,2015,9,Sant Andreu,62,el Congrés i els Indians,Male,272
354,2015,9,Sant Andreu,63,Navas,Male,470
355,2015,10,Sant Marti,64,el Camp de l'Arpa del Clot,Male,935
356,2015,10,Sant Marti,65,el Clot,Male,612
357,2015,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Male,442
358,2015,10,Sant Marti,67,la Vila Olímpica del Poblenou,Male,243
359,2015,10,Sant Marti,68,el Poblenou,Male,800
360,2015,10,Sant Marti,69,Diagonal Mar i el Front Marítim del Poblenou,Male,348
361,2015,10,Sant Marti,70,el Besòs i el Maresme,Male,921
362,2015,10,Sant Marti,71,Provençals del Poblenou,Male,474
363,2015,10,Sant Marti,72,Sant Marti de Provençals,Male,496
364,2015,10,Sant Marti,73,la Verneda i la Pau,Male,529
365,2015,1,Ciutat Vella,1,el Raval,Female,2118
366,2015,1,Ciutat Vella,2,el Barri Gòtic,Female,1038
367,2015,1,Ciutat Vella,3,la Barceloneta,Female,746
368,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,1250
369,2015,2,Eixample,5,el Fort Pienc,Female,1005
370,2015,2,Eixample,6,la Sagrada Família,Female,1722
371,2015,2,Eixample,7,la Dreta de l'Eixample,Female,1597
372,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,1493
373,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,1844
374,2015,2,Eixample,10,Sant Antoni,Female,1108
375,2015,3,Sants-Montjuic,11,el Poble Sec,Female,1321
376,2015,3,Sants-Montjuic,12,la Marina del Prat Vermell,Female,28
377,2015,3,Sants-Montjuic,13,la Marina de Port,Female,674
378,2015,3,Sants-Montjuic,14,la Font de la Guatlla,Female,390
379,2015,3,Sants-Montjuic,15,Hostafrancs,Female,569
380,2015,3,Sants-Montjuic,16,la Bordeta,Female,451
381,2015,3,Sants-Montjuic,17,Sants - Badal,Female,767
382,2015,3,Sants-Montjuic,18,Sants,Female,1285
383,2015,4,Les Corts,19,les Corts,Female,1099
384,2015,4,Les Corts,20,la Maternitat i Sant Ramon,Female,714
385,2015,4,Les Corts,21,Pedralbes,Female,350
